run_id,context_id,archid,device,dataset,accuracy,latency,runtime_sec,evaluations
1,1,5780,edgegpu,cifar10,93.980000,3.361888,0.344956,5000
1,1,5780,edgegpu,cifar10,93.980000,3.361888,0.344956,5000
1,1,9099,edgegpu,cifar10,93.940000,3.357520,0.344956,5000
1,1,10484,edgegpu,cifar10,93.810000,3.354015,0.344956,5000
1,1,11438,edgegpu,cifar10,92.500000,1.846719,0.344956,5000
1,1,11438,edgegpu,cifar10,92.500000,1.846719,0.344956,5000
1,1,6960,edgegpu,cifar10,92.280000,1.764450,0.344956,5000
1,2,4418,edgegpu,cifar100,72.746666,5.352364,0.369272,5000
1,2,4418,edgegpu,cifar100,72.746666,5.352364,0.369272,5000
1,2,1425,edgegpu,cifar100,72.093330,5.310225,0.369272,5000
1,2,12415,edgegpu,cifar100,71.940000,4.828467,0.369272,5000
1,2,12415,edgegpu,cifar100,71.940000,4.828467,0.369272,5000
1,2,9997,edgegpu,cifar100,71.520000,3.466139,0.369272,5000
1,2,8401,edgegpu,cifar100,71.080000,3.302102,0.369272,5000
1,2,8401,edgegpu,cifar100,71.080000,3.302102,0.369272,5000
1,2,8401,edgegpu,cifar100,71.080000,3.302102,0.369272,5000
1,2,8401,edgegpu,cifar100,71.080000,3.302102,0.369272,5000
1,2,7760,edgegpu,cifar100,67.800000,1.798687,0.369272,5000
1,3,9586,edgegpu,ImageNet16-120,46.933334,5.222673,0.366049,5000
1,3,9586,edgegpu,ImageNet16-120,46.933334,5.222673,0.366049,5000
1,3,9586,edgegpu,ImageNet16-120,46.933334,5.222673,0.366049,5000
1,3,9586,edgegpu,ImageNet16-120,46.933334,5.222673,0.366049,5000
1,3,9586,edgegpu,ImageNet16-120,46.933334,5.222673,0.366049,5000
1,3,9586,edgegpu,ImageNet16-120,46.933334,5.222673,0.366049,5000
1,3,12415,edgegpu,ImageNet16-120,46.566666,4.667692,0.366049,5000
1,3,12415,edgegpu,ImageNet16-120,46.566666,4.667692,0.366049,5000
1,3,12415,edgegpu,ImageNet16-120,46.566666,4.667692,0.366049,5000
1,3,12415,edgegpu,ImageNet16-120,46.566666,4.667692,0.366049,5000
1,3,15159,edgegpu,ImageNet16-120,45.566666,4.632421,0.366049,5000
1,3,14840,edgegpu,ImageNet16-120,45.311110,4.224715,0.366049,5000
1,3,11961,edgegpu,ImageNet16-120,39.722220,1.916986,0.366049,5000
1,3,11961,edgegpu,ImageNet16-120,39.722220,1.916986,0.366049,5000
2,1,5780,edgegpu,cifar10,93.980000,3.361888,0.365346,5000
2,1,5780,edgegpu,cifar10,93.980000,3.361888,0.365346,5000
2,1,5780,edgegpu,cifar10,93.980000,3.361888,0.365346,5000
2,1,10484,edgegpu,cifar10,93.810000,3.354015,0.365346,5000
2,1,1038,edgegpu,cifar10,92.276665,1.828198,0.365346,5000
2,1,11088,edgegpu,cifar10,92.200000,1.774998,0.365346,5000
2,2,4418,edgegpu,cifar100,72.746666,5.352364,0.368851,5000
2,2,4418,edgegpu,cifar100,72.746666,5.352364,0.368851,5000
2,2,12415,edgegpu,cifar100,71.940000,4.828467,0.368851,5000
2,2,9997,edgegpu,cifar100,71.520000,3.466139,0.368851,5000
2,2,8401,edgegpu,cifar100,71.080000,3.302102,0.368851,5000
