context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
1,edgegpu,cifar10,94.37334,0,0.50138474,0,0.8412388238,3.45874229e-05,0.001235859548,0.002329631637,0,0,2.38685339,0.2262157638
2,edgetpu,cifar10,94.37334,0,0.34654593,0,0.8459544636,0.001391554042,0.0018263259,0.002155574592,0,0,3.44826242,0.3915083493
3,eyeriss,cifar10,94.37334,0,1.67954,0,0.8298132927,0.0004051424777,0.001621590361,0.003942372262,0,0,3.0220213,0.5721345044
4,fpga,cifar10,94.37334,0,1.13296,0,0.7829591705,0.0003624891214,0.003249678788,0.00275258839,0,0,2.19257886,0.3128497458
5,pixel3,cifar10,94.37334,0,0.00327686,0,0.9405811196,0.0002313474435,0.03961385039,0.02167870514,0,0,2.31741704,0.3289041986
6,raspi4,cifar10,94.37334,0,0.0112835,0,0.9492054984,0.0001379880839,0.02858915336,0.008638566507,0,0,1.96116435,0.1196279047
7,edgegpu,cifar100,73.513336,0,0.5058527,0,0.8149570912,5.649303176e-05,0.0006832228723,0.001109100561,0,0,3.34422531,0.4167778297
8,edgetpu,cifar100,73.513336,0,0.35493976,0,0.8021885315,0.0007693476241,0.001903617503,0.001596485734,0,0,2.91111651,0.2558023443
9,eyeriss,cifar100,73.513336,0,1.68256,0,0.8298638155,0.0002880232812,0.004237241379,0.004237241379,0,0,3.92277925,0.5475769771
10,fpga,cifar100,73.513336,0,1.13296,0,0.7602723569,0.0004728329985,0.006208067485,0.005858382594,0,0,2.69453716,0.3618041463
11,pixel3,cifar100,73.513336,0,0.0087526,0,0.9500615069,0.0005818627939,0.04215163097,0.03766404018,0,0,2.29165258,0.2118221337
12,raspi4,cifar100,73.513336,0,0.01521528,0,0.9283737018,0.0002257888636,0.05172204558,0.01451889826,0,0,1.753884,0.1777014691
13,edgegpu,ImageNet16-120,47.2733324,0.1133328,0.5339527,0,0.7820719082,0.0002108248347,0.008405758299,0.006839097322,0,0,2.67629945,0.2838387989
14,edgetpu,ImageNet16-120,47.31111,0,0.358260588,0.000301456,0.8037536776,0.0007652097949,0.003048705184,0.001544675696,0,0,2.13655146,0.3298692928
15,eyeriss,ImageNet16-120,47.31111,0,0.42304,0,0.7675212111,3.627614826e-05,0.0003361386555,0.001008415966,0,0,3.44938533,0.6123943922
16,fpga,ImageNet16-120,47.31111,0,0.28432,0,0.7452398286,0.001111536698,0.004979671559,0.005891450039,0,0,2.56998866,0.324275327
17,pixel3,ImageNet16-120,47.31111,0,0.005313101,7.1043e-05,0.8587551864,0.0002579806334,0.01232383735,0.007697782839,0,0,1.76699098,0.3012719406
18,raspi4,ImageNet16-120,47.31111,0,0.011514322,1.566e-06,0.7938388531,0.0005746937882,0.02600217109,0.009856413485,0,0,2.17376023,0.4653376566
