context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
1,edgegpu,cifar10,94.37334,0,0.50138474,0,0.8412624253,0,0,0,0,0,0.196064645,0.03142325878
2,edgetpu,cifar10,94.37334,0,0.34654593,0,0.8473986504,0,0,0,0,0,0.20794035,0.03915047936
3,eyeriss,cifar10,94.37334,0,1.67954,0,0.8300121505,0,0,0,0,0,0.194873735,0.02989520073
4,fpga,cifar10,94.37334,0,1.13296,0,0.7838153969,0,0,0,0,0,0.189629295,0.03049550545
5,pixel3,cifar10,94.37334,0,0.00327686,0,0.9416355553,0,0,0,0,0,0.196954705,0.04231662177
6,raspi4,cifar10,94.37334,0,0.0112835,0,0.9498121119,0,0,0,0,0,0.195245205,0.03087093005
7,edgegpu,cifar100,73.513336,0,0.5058527,0,0.8150179736,0,0,0,0,0,0.20187579,0.03100083894
8,edgetpu,cifar100,73.513336,0,0.35493976,0,0.8037397264,0,0,0,0,0,0.1977417,0.02760863343
9,eyeriss,cifar100,73.513336,0,1.68256,0,0.8301510444,0,0,0,0,0,0.19663513,0.03577931417
10,fpga,cifar100,73.513336,0,1.13296,0,0.7608187742,0,0,0,0,0,0.19484815,0.04285942646
11,pixel3,cifar100,73.513336,0,0.0087526,0,0.9508496363,0,0,0,0,0,0.198957485,0.02997936036
12,raspi4,cifar100,73.513336,0,0.01521528,0,0.9291264638,0,0,0,0,0,0.200679485,0.03193217784
13,edgegpu,ImageNet16-120,47.31111,0,0.5339527,0,0.7825701559,0,0,0,0,0,0.20101619,0.02914011808
14,edgetpu,ImageNet16-120,47.31111,0,0.35810986,0,0.8014619244,0,0,0,0,0,0.197568565,0.03148663508
15,eyeriss,ImageNet16-120,47.31111,0,0.42304,0,0.7675333032,0,0,0,0,0,0.196212005,0.03024891223
16,fpga,ImageNet16-120,47.31111,0,0.28432,0,0.7460456323,0,0,0,0,0,0.203444125,0.03117017681
17,pixel3,ImageNet16-120,47.31111,0,0.00528942,0,0.8602479087,0,0,0,0,0,0.198606425,0.02943477485
18,raspi4,ImageNet16-120,47.31111,0,0.0115138,0,0.7962630336,0,0,0,0,0,0.202426735,0.03212122616
